origen,archivo,alimento,kcal_100g,alimento_normalizado
ARGENFOOD,argen_frutas.xls,Alimento,Energía,Alimento
ARGENFOOD,argen_frutas.xls,Aceituna de monte,93,Aceituna De Monte
ARGENFOOD,argen_frutas.xls,"Aceituna verde, pulpa, encurtida",144,Aceituna Verde Pulpa Encurtida
ARGENFOOD,argen_frutas.xls,"Ananá enlatado, contenido envase",87,Anana Enlatado Contenido Envase
ARGENFOOD,argen_frutas.xls,"Ananá, pulpa, fresco",58,Anana Pulpa
ARGENFOOD,argen_frutas.xls,"Banana, pulpa, fresca",99,Banana Pulpa Fresca
ARGENFOOD,argen_frutas.xls,"Cereza, pulpa, fresca",68,Cereza Pulpa Fresca
ARGENFOOD,argen_frutas.xls,"Ciruela, pasa, cruda",255,Ciruela Pasa Cruda
ARGENFOOD,argen_frutas.xls,"Ciruela, pasa, hervida",165,Ciruela Pasa Hervida
ARGENFOOD,argen_frutas.xls,"Ciruela, pulpa, fresca",56,Ciruela Pulpa Fresca
ARGENFOOD,argen_frutas.xls,"Coco, pulpa, fresco, crudo",382,Coco Pulpa
ARGENFOOD,argen_frutas.xls,"Damasco, pulpa, fresco, crudo",57,Damasco Pulpa
ARGENFOOD,argen_frutas.xls,Doca,49,Doca
ARGENFOOD,argen_frutas.xls,"Durazno orejón, pulpa y piel, hervido",40,Durazno Orejon Pulpa Y Piel Hervido
ARGENFOOD,argen_frutas.xls,"Durazno, pulpa, envasado al natural",75,Durazno Pulpa Envasado Al Natural
ARGENFOOD,argen_frutas.xls,"Durazno, pulpa, fresco, crudo",51,Durazno Pulpa
ARGENFOOD,argen_frutas.xls,"Frutilla pulpa, fresca, cruda",41,Frutilla Pulpa Fresca Cruda
ARGENFOOD,argen_frutas.xls,"Granada, pulpa, fresca",75,Granada Pulpa Fresca
ARGENFOOD,argen_frutas.xls,"Guaraniná, Brumelia obtusifolia",147,Guaranina Brumelia Obtusifolia
ARGENFOOD,argen_frutas.xls,"Higo, pulpa, fresca",88,Higo Pulpa Fresca
ARGENFOOD,argen_frutas.xls,"Kaki, pulpa, fresco",87,Kaki Pulpa
ARGENFOOD,argen_frutas.xls,"Kinoto, pulpa y cáscara, fresco, crudo",73,Kinoto Pulpa Y Cascara
ARGENFOOD,argen_frutas.xls,"Limón, pulpa, fresco",44,Limon Pulpa
ARGENFOOD,argen_frutas.xls,"Manzana, hervida",26,Manzana Hervida
ARGENFOOD,argen_frutas.xls,"Manzana, pulpa, fresca, cruda",64,Manzana Pulpa Fresca Cruda
ARGENFOOD,argen_frutas.xls,Mburucuyá maduro,84,Mburucuya Maduro
ARGENFOOD,argen_frutas.xls,Mburucuyá verde,59,Mburucuya Verde
ARGENFOOD,argen_frutas.xls,"Melón, pulpa, fresco",28,Melon Pulpa
ARGENFOOD,argen_frutas.xls,"Membrillo, pulpa, fresco, crudo",58,Membrillo Pulpa
ARGENFOOD,argen_frutas.xls,"Mora, fresca",69,Mora Fresca
ARGENFOOD,argen_frutas.xls,Ñandapirí,70,Nandapiri
ARGENFOOD,argen_frutas.xls,"Palta, pulpa, fresca",258,Palta Pulpa Fresca
ARGENFOOD,argen_frutas.xls,"Pera, orejón, crudo",299,Pera Orejon
ARGENFOOD,argen_frutas.xls,"Pera, pulpa, fresca, cruda",70,Pera Pulpa Fresca Cruda
ARGENFOOD,argen_frutas.xls,"Pomelo, pulpa, fresco",26,Pomelo Pulpa
ARGENFOOD,argen_frutas.xls,"Sandía, pulpa, fresca, cruda",31,Sandia Pulpa Fresca Cruda
ARGENFOOD,argen_frutas.xls,Ubajay,49,Ubajay
ARGENFOOD,argen_grasas.xls,Alimento,Energía,Alimento
ARGENFOOD,argen_grasas.xls,"Aceite comestible mezcla Lira, 85% girasol, 15% oliva",900,Aceite Comestible Mezcla Lira 85% Girasol 15% Oliva
ARGENFOOD,argen_grasas.xls,"Aceite comestible mezcla Patito, 94% girasol, 6% maiz",900,Aceite Comestible Mezcla Patito 94% Girasol 6% Maiz
ARGENFOOD,argen_grasas.xls,Aceite de canola,900,Aceite De Canola
ARGENFOOD,argen_grasas.xls,Aceite de girasol Familiar,900,Aceite De Girasol Familiar
ARGENFOOD,argen_grasas.xls,Aceite de girasol Ideal,900,Aceite De Girasol Ideal
ARGENFOOD,argen_grasas.xls,Aceite de girasol Natura,900,Aceite De Girasol Natura
ARGENFOOD,argen_grasas.xls,Aceite de maiz Arcor,900,Aceite De Maiz Arcor
ARGENFOOD,argen_grasas.xls,Aceite de maiz Cocinero,900,Aceite De Maiz Cocinero
ARGENFOOD,argen_grasas.xls,Aceite de maiz Mazzola,900,Aceite De Maiz Mazzola
ARGENFOOD,argen_grasas.xls,Aceite de oliva Cocinero,900,Aceite De Oliva Cocinero
ARGENFOOD,argen_grasas.xls,Aceite de uva Cocinero,900,Aceite De Uva Cocinero
ARGENFOOD,argen_grasas.xls,Grasa de cerdo,898,Grasa De Cerdo
ARGENFOOD,argen_grasas.xls,Grasa Vacuna,899,Grasa Vacuna
ARGENFOOD,argen_grasas.xls,Margarina 100% vegetal Delicia,747,Margarina 100% Vegetal Delicia
ARGENFOOD,argen_grasas.xls,Margarina 100% vegetal Manty (en pote y en pan),747,Margarina 100% Vegetal Manty (En Pote Y En Pan)
ARGENFOOD,argen_grasas.xls,Margarina reducida en calorias Manty liviana,504,Margarina Reducida En Calorias Manty Liviana
ARGENFOOD,argen_huevo.xls,Alimento,Energía,Alimento
ARGENFOOD,argen_huevo.xls,"Huevo de codorniz, entero, crudo",174,Huevo De Codorniz Entero
ARGENFOOD,argen_huevo.xls,"Huevo de gallina, clara, cocido",54,Huevo De Gallina Clara
ARGENFOOD,argen_huevo.xls,"Huevo de gallina, clara, cruda",48,Huevo De Gallina Clara Cruda
ARGENFOOD,argen_huevo.xls,"Huevo de gallina, entero, crudo",156,Huevo De Gallina Entero
ARGENFOOD,argen_huevo.xls,"Huevo de gallina, frito",196,Huevo De Gallina Frito
ARGENFOOD,argen_huevo.xls,"Huevo de gallina, poché",152,Huevo De Gallina Poche
ARGENFOOD,argen_huevo.xls,"Huevo de gallina, yema, cruda",325,Huevo De Gallina Yema Cruda
ARGENFOOD,argen_leche.xls,Alimento,Energía,Alimento
ARGENFOOD,argen_leche.xls,"Leche, condensada, Nestlé",328,Leche Condensada Nestle
ARGENFOOD,argen_leche.xls,"Leche de burra, entera, fluida",45,Leche De Burra Entera Fluida
ARGENFOOD,argen_leche.xls,"Leche de cabra, entera, fluida",78,Leche De Cabra Entera Fluida
ARGENFOOD,argen_leche.xls,"Leche de oveja, entera, fluida",99,Leche De Oveja Entera Fluida
ARGENFOOD,argen_leche.xls,"Leche de vaca, entera, fluida, adicionada con vitamina A",57,Leche De Vaca Entera Fluida Adicionada Con Vitamina A
ARGENFOOD,argen_leche.xls,"Leche de vaca, entera, fluida, pasteurizada",57,Leche De Vaca Entera Fluida Pasteurizada
ARGENFOOD,argen_leche.xls,"Leche de vaca parcialm. descremada, adic. con vit A y D",44,Leche De Vaca Parcialm. Descremada Adic. Con Vit A Y D
ARGENFOOD,argen_leche.xls,Leche en polvo descremada,370,Leche En Polvo Descremada
ARGENFOOD,argen_leche.xls,Leche en polvo entera,489,Leche En Polvo Entera
ARGENFOOD,argen_leche.xls,"Leche humana, entera, en polvo",520,Leche Humana Entera En Polvo
ARGENFOOD,argen_leche.xls,"Leche humana, entera, fluida",71,Leche Humana Entera Fluida
ARGENFOOD,argen_leche.xls,"Manteca, fresca",758,Manteca Fresca
ARGENFOOD,argen_leche.xls,"Queso crema, entero, untable",246,Queso Crema Entero Untable
ARGENFOOD,argen_leche.xls,"Queso descremado, untable",82,Queso Descremado Untable
ARGENFOOD,argen_leche.xls,"Queso, Petit Suisse",182,Queso Petit Suisse
ARGENFOOD,argen_leche.xls,"Queso semidescremado, untable",104,Queso Semidescremado Untable
ARGENFOOD,argen_leche.xls,Queso  Blanco Argentino Semimagro,104,Queso Blanco Argentino Semimagro
ARGENFOOD,argen_leche.xls,Queso Belpaese,309,Queso Belpaese
ARGENFOOD,argen_leche.xls,Queso Camembert,287,Queso Camembert
ARGENFOOD,argen_leche.xls,Queso cremoso,302,Queso Cremoso
ARGENFOOD,argen_leche.xls,Queso cuartirolo,291,Queso Cuartirolo
ARGENFOOD,argen_leche.xls,Queso doble crema,260,Queso Doble Crema
ARGENFOOD,argen_leche.xls,Queso Limburgués,324,Queso Limburgues
ARGENFOOD,argen_leche.xls,Queso mozarella,282,Queso Mozarella
ARGENFOOD,argen_leche.xls,Queso Por Salut,301,Queso Por Salut
ARGENFOOD,argen_leche.xls,Queso azul,377,Queso Azul
ARGENFOOD,argen_leche.xls,Queso Cheddar,357,Queso Cheddar
ARGENFOOD,argen_leche.xls,Queso Chubut,328,Queso Chubut
ARGENFOOD,argen_leche.xls,Queso Fontina,340,Queso Fontina
ARGENFOOD,argen_leche.xls,Queso Gorgonzola,480,Queso Gorgonzola
ARGENFOOD,argen_leche.xls,Queso Gruyere,379,Queso Gruyere
ARGENFOOD,argen_leche.xls,Queso Holanda,345,Queso Holanda
ARGENFOOD,argen_leche.xls,Queso Pategrás,410,Queso Pategras
ARGENFOOD,argen_leche.xls,Queso Roquefort,426,Queso Roquefort
ARGENFOOD,argen_leche.xls,Queso Suizo,404,Queso Suizo
ARGENFOOD,argen_leche.xls,Queso Tafí,358,Queso Tafi
ARGENFOOD,argen_leche.xls,Queso Tandil,345,Queso Tandil
ARGENFOOD,argen_leche.xls,Queso tipo Mar del Plata,332,Queso Tipo Mar Del Plata
ARGENFOOD,argen_leche.xls,Queso Goya,402,Queso Goya
ARGENFOOD,argen_leche.xls,Queso Parmesano,350,Queso Parmesano
ARGENFOOD,argen_leche.xls,Queso Provolone,391,Queso Provolone
ARGENFOOD,argen_leche.xls,Queso Reggianito,365,Queso Reggianito
ARGENFOOD,argen_leche.xls,Queso Sardo,402,Queso Sardo
ARGENFOOD,argen_leche.xls,Queso Sbrinz,357,Queso Sbrinz
ARGENFOOD,argen_leche.xls,Ricota de leche entera,168,Ricota De Leche Entera
ARGENFOOD,argen_leche.xls,Ricotta semidescremada,168,Ricotta Semidescremada
ARGENFOOD,argen_leche.xls,Yogur descremado,59,Yogur Descremado
ARGENFOOD,argen_leche.xls,Yogur descremado bebible,30,Yogur Descremado Bebible
ARGENFOOD,argen_leche.xls,Yogur descremado fortificado con Ca,48,Yogur Descremado Fortificado Con Ca
ARGENFOOD,argen_leche.xls,Yogur entero bebible,82,Yogur Entero Bebible
ARGENFOOD,argen_leche.xls,Yogur entero natural,66,Yogur Entero Natural
ARGENFOOD,argen_leche.xls,Yogur entero saborizado,88,Yogur Entero Saborizado
ARGENFOOD,argen_misc.xls,Alimento,Energía,Alimento
ARGENFOOD,argen_misc.xls,Mayonesa reducida en calorías,320,Mayonesa Reducida En Calorias
ARGENFOOD,argen_misc.xls,Mayonesa Ri-k,723,Mayonesa Ri-K
ARGENFOOD,argen_misc.xls,Mortadela,245,Mortadela
ARGENFOOD,argen_misc.xls,Polen de Totora,288,Polen De Totora
ARGENFOOD,argen_pescados.xls,Alimento,Energía,Alimento
ARGENFOOD,argen_pescados.xls,"Abadejo, fresco, crudo, carne",72,Abadejo Carne
ARGENFOOD,argen_pescados.xls,"Amarillo, fresco, a la parrilla, músculo dorsal",183,Amarillo A La Parrilla Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Amarillo, fresco, al horno, músculo dorsal",233,Amarillo Al Horno Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Amarillo, fresco, crudo, músculo dorsal",141,Amarillo Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Amarillo, fresco, frito, músculo dorsal",232,Amarillo Frito Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Amarillo, fresco, hervido, músculo dorsal",180,Amarillo Hervido Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Anchoa, fresca, cruda, carne",92,Anchoa Fresca Cruda Carne
ARGENFOOD,argen_pescados.xls,"Anchoita, fresca, cruda, carne",129,Anchoita Fresca Cruda Carne
ARGENFOOD,argen_pescados.xls,"Armado, fresco, al horno, músculo dorsal",128,Armado Al Horno Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Armado, fresco, crudo, músculo dorsal",75,Armado Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Armado, fresco, crudo, músculo ventral",103,Armado Musculo Ventral
ARGENFOOD,argen_pescados.xls,"Armado, fresco, frito, músculo dorsal",130,Armado Frito Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Armado, fresco, hervido, músculo dorsal",102,Armado Hervido Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Besugo, fresco, crudo, carne",100,Besugo Carne
ARGENFOOD,argen_pescados.xls,"Boga, fresca, a la parrilla, músculo dorsal",150,Boga Fresca A La Parrilla Musculo Dorsal
