alimento_normalizado,kcal_100g,archivo,categoria,medida_casera,gramos_aprox,kcal_por_porcion
Pati Frito Musculo Dorsal,215.0,argen_pescados.xls,pescado,porcion_carne_chica,100,215.0
Pati Hervido Musculo Dorsal,133.0,argen_pescados.xls,pescado,porcion_carne_chica,100,133.0
Pejerrey Agua Dulce Carne,77.0,argen_pescados.xls,pescado,porcion_carne_chica,100,77.0
Pejerrey Mar Carne,86.0,argen_pescados.xls,pescado,porcion_carne_chica,100,86.0
Pescadilla Fresca Carne,97.0,argen_pescados.xls,pescado,porcion_carne_chica,100,97.0
Pez Gallo Carne,84.0,argen_pescados.xls,pescado,porcion_carne_chica,100,84.0
Pez Palo Carne,96.0,argen_pescados.xls,pescado,porcion_carne_chica,100,96.0
Rubio Carne,109.0,argen_pescados.xls,pescado,porcion_carne_chica,100,109.0
Sabalo A La Parrilla Musculo Dorsal,130.0,argen_pescados.xls,pescado,porcion_carne_chica,100,130.0
Sabalo Al Horno Musculo Dorsal,153.0,argen_pescados.xls,pescado,porcion_carne_chica,100,153.0
