origen,archivo,alimento,kcal_100g
ARGENFOOD,argen_pescados.xls,"Abadejo, fresco, crudo, carne",72
ARGENFOOD,argen_pescados.xls,"Amarillo, fresco, a la parrilla, músculo dorsal",183
ARGENFOOD,argen_pescados.xls,"Amarillo, fresco, al horno, músculo dorsal",233
ARGENFOOD,argen_pescados.xls,"Amarillo, fresco, crudo, músculo dorsal",141
ARGENFOOD,argen_pescados.xls,"Amarillo, fresco, frito, músculo dorsal",232
ARGENFOOD,argen_pescados.xls,"Amarillo, fresco, hervido, músculo dorsal",180
ARGENFOOD,argen_pescados.xls,"Anchoa, fresca, cruda, carne",92
ARGENFOOD,argen_pescados.xls,"Anchoita, fresca, cruda, carne",129
ARGENFOOD,argen_pescados.xls,"Armado, fresco, al horno, músculo dorsal",128
ARGENFOOD,argen_pescados.xls,"Armado, fresco, crudo, músculo dorsal",75
ARGENFOOD,argen_pescados.xls,"Armado, fresco, crudo, músculo ventral",103
ARGENFOOD,argen_pescados.xls,"Armado, fresco, frito, músculo dorsal",130
ARGENFOOD,argen_pescados.xls,"Armado, fresco, hervido, músculo dorsal",102
ARGENFOOD,argen_pescados.xls,"Besugo, fresco, crudo, carne",100
ARGENFOOD,argen_pescados.xls,"Boga, fresca, a la parrilla, músculo dorsal",150
ARGENFOOD,argen_pescados.xls,"Boga, fresca, al horno, músculo dorsal",150
ARGENFOOD,argen_pescados.xls,"Boga, fresca, cruda, músculo ventral",180
ARGENFOOD,argen_pescados.xls,"Boga, fresca, frita, músculo dorsal",168
ARGENFOOD,argen_pescados.xls,"Boga, fresca, hervida, músculo dorsal",158
ARGENFOOD,argen_pescados.xls,"Bonito, fresco, crudo, carne",219
ARGENFOOD,argen_pescados.xls,"Brótola, fresca, cruda, carne",83
ARGENFOOD,argen_pescados.xls,"Caballa, fresca, cruda, carne",232
ARGENFOOD,argen_pescados.xls,"Castañeta, fresca, cruda, carne",95
ARGENFOOD,argen_pescados.xls,"Castañeta, fresca, cruda, entera",170
ARGENFOOD,argen_pescados.xls,"Congrio, fresco, crudo, carne",107
ARGENFOOD,argen_pescados.xls,"Cornalito, fresco, crudo, entero",86
ARGENFOOD,argen_pescados.xls,"Corvina blanca, fresca, cruda, carne",97
ARGENFOOD,argen_pescados.xls,"Corvina negra, fresca, cruda, carne",84
ARGENFOOD,argen_pescados.xls,"Dorado, fresco, crudo, carne",80
ARGENFOOD,argen_pescados.xls,"Gatuso, fresco, crudo, carne",72
ARGENFOOD,argen_pescados.xls,"Jurel, fresco, crudo, carne",149
ARGENFOOD,argen_pescados.xls,"Lenguado, fresco, crudo, carne",78
ARGENFOOD,argen_pescados.xls,"Lisa, fresca, cruda, carne",146
ARGENFOOD,argen_pescados.xls,"Merluza, fresca, cruda, carne",81
ARGENFOOD,argen_pescados.xls,"Mero, fresco, crudo, carne",83
ARGENFOOD,argen_pescados.xls,"Moncholo, fresco, al horno, músculo dorsal",189
ARGENFOOD,argen_pescados.xls,"Moncholo, fresco, crudo, músculo dorsal",112
ARGENFOOD,argen_pescados.xls,"Moncholo, fresco, crudo, músculo ventral",148
ARGENFOOD,argen_pescados.xls,"Moncholo, fresco, hervido, músculo dorsal",187
ARGENFOOD,argen_pescados.xls,"Palometa, fresca, cruda, carne",215
ARGENFOOD,argen_pescados.xls,"Pargo, fresco, crudo, carne",113
ARGENFOOD,argen_pescados.xls,"Patí, fresco, a la parrilla, músculo dorsal",169
ARGENFOOD,argen_pescados.xls,"Patí, fresco, al horno, músculo dorsal",183
ARGENFOOD,argen_pescados.xls,"Patí, fresco, crudo, carne",90
ARGENFOOD,argen_pescados.xls,"Patí, fresco, crudo, músculo dorsal",161
ARGENFOOD,argen_pescados.xls,"Patí, fresco, crudo, músculo ventral",159
ARGENFOOD,argen_pescados.xls,"Patí, fresco, frito, músculo dorsal",215
ARGENFOOD,argen_pescados.xls,"Patí, fresco, hervido, músculo dorsal",133
ARGENFOOD,argen_pescados.xls,"Pejerrey agua dulce, fresco, crudo, carne",77
ARGENFOOD,argen_pescados.xls,"Pejerrey mar, fresco, crudo, carne",86
ARGENFOOD,argen_pescados.xls,"Pescadilla, fresca, crudo, carne",97
ARGENFOOD,argen_pescados.xls,"Pez Gallo, fresco, crudo, carne",84
ARGENFOOD,argen_pescados.xls,"Pez palo, fresco, crudo, carne",96
ARGENFOOD,argen_pescados.xls,"Rubio, fresco, crudo, carne",109
ARGENFOOD,argen_pescados.xls,"Sábalo, fresco, a la parrilla, músculo dorsal",130
ARGENFOOD,argen_pescados.xls,"Sábalo, fresco, al horno, músculo dorsal",153
ARGENFOOD,argen_pescados.xls,"Sábalo, fresco, crudo, músculo dorsal",145
ARGENFOOD,argen_pescados.xls,"Sábalo, fresco, crudo, músculo ventral",151
ARGENFOOD,argen_pescados.xls,"Sábalo, fresco, frito, músculo dorsal",166
ARGENFOOD,argen_pescados.xls,"Sábalo, fresco, hervido, músculo dorsal",130
ARGENFOOD,argen_pescados.xls,"Sardina fueguina, fresca, cruda, carne",136
ARGENFOOD,argen_pescados.xls,"Surubí, fresco, al horno, músculo dorsal",255
ARGENFOOD,argen_pescados.xls,"Surubí, fresco, crudo, carne",110
ARGENFOOD,argen_pescados.xls,"Surubí, fresco, crudo, músculo dorsal",187
ARGENFOOD,argen_pescados.xls,"Surubí, fresco, frito, músculo dorsal",269
ARGENFOOD,argen_pescados.xls,"Surubí, fresco, hervido, músculo dorsal",186
ARGENFOOD,argen_pescados.xls,"Tararira, fresca, cruda, carne",79
ARGENFOOD,argen_pescados.xls,"Testolin, fresco, crudo, carne",98
ARGENFOOD,argen_pescados.xls,"Calamar, fresco, crudo (tubo aletas y tentáculos)",79
ARGENFOOD,argen_pescados.xls,"Calamar, fresco, entero, crudo",80
ARGENFOOD,argen_pescados.xls,"Camarón, fresco, crudo, carne de cola",91
ARGENFOOD,argen_pescados.xls,"Centolla, fresca, carne, cruda",66
ARGENFOOD,argen_pescados.xls,"Centolla, fresca (carne de pata solamente)",83
ARGENFOOD,argen_pescados.xls,"Langostino, fresco, crudo, carne de cola",97
ARGENFOOD,argen_pescados.xls,"Mejillón, fresco, crudo (capturado en primavera)",95
ARGENFOOD,argen_pescados.xls,"Mejillón, fresco, crudo, carne",64
ARGENFOOD,argen_pescados.xls,"Mejillón, fresco, pre-cocido, carne",84
ARGENFOOD,argen_pescados.xls,"Ancho, pasta",202
ARGENFOOD,argen_pescados.xls,"Caballa, tronco",212
ARGENFOOD,argen_prodaz.xls,Alimento,Energía
ARGENFOOD,argen_prodaz.xls,"Batata, dulce",263
ARGENFOOD,argen_prodaz.xls,Chocolatín,549
ARGENFOOD,argen_prodaz.xls,"Ciruela, mermelada",306
ARGENFOOD,argen_prodaz.xls,Dulce de leche,314
ARGENFOOD,argen_prodaz.xls,Dulce de Leche Light,260
ARGENFOOD,argen_prodaz.xls,Dulce de leche para reposteria,317
ARGENFOOD,argen_prodaz.xls,Dulce de leche repostero suelto,337
ARGENFOOD,argen_prodaz.xls,"Durazno, mermelada",304
ARGENFOOD,argen_prodaz.xls,"Frutilla, mermelada",309
ARGENFOOD,argen_prodaz.xls,"Leche, dulce de leche",341
ARGENFOOD,argen_vegetales.xls,Alimento,Energía
ARGENFOOD,argen_vegetales.xls,"Acelga, hoja",15
ARGENFOOD,argen_vegetales.xls,"Acelga, tallo",8
ARGENFOOD,argen_vegetales.xls,Achicoria de Monte,46
ARGENFOOD,argen_vegetales.xls,"Achicoria, hoja, fresca, cruda",21
ARGENFOOD,argen_vegetales.xls,Achira (raíces),34
ARGENFOOD,argen_vegetales.xls,"Ajo, bulbo, fresco, crudo",99
ARGENFOOD,argen_vegetales.xls,"Alcaucil, inflorescencia, fresco, crudo",63
ARGENFOOD,argen_vegetales.xls,"Alfalfa, hoja, fresca, cruda",57
ARGENFOOD,argen_vegetales.xls,"Arveja, semilla, fresca, cruda",102
ARGENFOOD,argen_vegetales.xls,"Arveja, semilla, fresca, enlatada",105
ARGENFOOD,argen_vegetales.xls,"Arveja, semilla, fresca, hervida",77
ARGENFOOD,argen_vegetales.xls,"Arveja, semilla, seca, entera, cruda",304
ARGENFOOD,argen_vegetales.xls,"Arveja, semilla, seca, partida, cruda",311
ARGENFOOD,argen_vegetales.xls,"Arveja, semilla, seca, partida, hervida",129
ARGENFOOD,argen_vegetales.xls,"Avellana, pepita, seca",668
ARGENFOOD,argen_vegetales.xls,"Batata, frita",212
ARGENFOOD,argen_vegetales.xls,"Batata, hervida",92
ARGENFOOD,argen_vegetales.xls,"Batata, raiz, fresca, cruda",84
ARGENFOOD,argen_vegetales.xls,"Berenjena, pulpa, fresca, cruda",28
ARGENFOOD,argen_vegetales.xls,"Berro (hojas y tallo), fresco, crudo",23
ARGENFOOD,argen_vegetales.xls,"Brócoli, tallo de hoja, fresco, crudo",37
ARGENFOOD,argen_vegetales.xls,"Cardo (penca y hojas), fresco, crudo",25
ARGENFOOD,argen_vegetales.xls,"Castaña de Pará, pepita, cruda",731
ARGENFOOD,argen_vegetales.xls,"Cebolla blanca, bulbo, cruda",17
ARGENFOOD,argen_vegetales.xls,"Cebolla blanca, bulbo, hervida",10
ARGENFOOD,argen_vegetales.xls,"Chaucha, vaina y semilla, cruda",22
